Canton,Population,Spring holidays,,Summer holidays,,Fall holidays,
Aargau,"663,500",2021-04-12,2021-04-23,2021-07-19,2021-07-19,2021-10-04,2021-10-15
Ausserrhoden,"55,000",2021-04-12,2021-04-23,2021-07-12,2021-08-13,2021-10-11,2021-10-22
Basel-Land,"285,600",2021-03-27,2021-04-11,2021-07-03,2021-08-15,2021-10-02,2021-10-17
Graub端nden,"197,600",2021-04-19,2021-04-30,2021-07-01,2021-08-15,2021-10-11,2021-10-22
Uri,"36,100",2021-05-01,2021-05-16,2021-07-03,2021-08-15,2021-10-02,2021-10-17
Innerrhoden,"16,000",2021-04-10,2021-04-25,2021-07-03,2021-08-15,2021-10-09,2021-10-24
Basel-Stadt,"193,100",2021-03-27,2021-04-10,2021-07-03,2021-08-14,2021-10-02,2021-10-16
Bern,"1,026,500",2021-04-10,2021-04-25,2021-07-03,2021-08-15,2021-09-25,2021-10-17
Freiburg,"311,900",2021-04-02,2021-04-16,2021-07-12,2021-08-25,2021-10-18,2021-10-29
Genf,"489,500",2021-04-01,2021-04-09,2021-07-05,2021-08-29,2021-10-25,2022-09-29
Glarus,"40,100",2021-04-02,2021-04-18,2021-07-03,2021-08-15,2021-10-09,2021-10-24
Jura,"73,100",2021-04-02,2021-04-16,2021-07-05,2021-08-13,2021-10-11,2021-10-22
Luzern,"403,400",2021-04-02,2021-04-18,2021-07-10,2021-08-22,2021-10-02,2021-10-17
Neuenburg,"178,600",2021-04-02,2021-04-16,2021-07-05,2021-08-13,2021-10-04,2021-10-15
Nidwalden,"42,600",2021-04-02,2021-04-18,2021-07-10,2021-08-29,2021-10-02,2021-10-17
Obwalden,"37,400",2021-04-02,2021-04-18,2021-07-03,2021-08-15,2021-10-02,2021-10-24
Schaffhausen,"80,800",2021-04-17,2021-05-02,2021-07-10,2021-08-15,2021-10-02,2021-10-24
Schwyz,"155,900",2021-05-03,2021-05-14,2021-07-12,2021-08-20,2021-10-04,2021-10-15
Solothurn,"269,400",2021-04-12,2021-04-23,2021-07-12,2021-08-13,2021-10-04,2021-10-22
Tessin,"354,400",2021-04-02,2021-04-11,2021-06-19,2021-08-29,2021-10-30,2021-11-07
Thurgau,"270,700",2021-04-02,2021-04-18,2021-07-12,2021-08-15,2021-10-11,2021-10-24
Waadt,"784,800",2021-04-02,2022-04-18,2021-07-03,2021-08-22,2021-10-16,2021-10-31
Wallis,"339,200",2021-05-10,2021-05-14,2021-06-28,2021-08-13,2021-10-11,2021-10-22
Zug,"123,900",2021-04-17,2021-05-02,2021-07-03,2021-08-15,2021-10-02,2021-10-17
Z端rich,"1,488,000",2021-04-26,2021-05-08,2021-07-19,2021-08-21,2021-10-11,2021-10-23
Aargau,"663,500",2022-04-11,2022-04-22,2022-07-18,2022-07-18,2022-10-03,2022-10-14
Ausserrhoden,"55,000",2022-04-11,2022-04-22,2022-07-11,2022-08-12,2022-10-10,2022-10-21
Basel-Land,"285,600",2022-03-26,2022-04-10,2022-07-02,2022-08-14,2022-10-01,2022-10-16
Graub端nden,"197,600",2022-04-18,2022-04-29,2022-06-30,2022-08-14,2022-10-10,2022-10-21
Uri,"36,100",2022-04-30,2022-05-15,2022-07-02,2022-08-14,2022-10-01,2022-10-16
Innerrhoden,"16,000",2022-04-09,2022-04-24,2022-07-02,2022-08-14,2022-10-08,2022-10-23
Basel-Stadt,"193,100",2022-03-26,2022-04-09,2022-07-02,2022-08-13,2022-10-01,2022-10-15
Bern,"1,026,500",2022-04-09,2022-04-24,2022-07-02,2022-08-14,2022-09-24,2022-10-16
Freiburg,"311,900",2022-04-01,2022-04-15,2022-07-11,2022-08-24,2022-10-17,2022-10-28
Genf,"489,500",2022-03-31,2022-04-08,2022-07-04,2022-08-28,2022-10-24,2023-09-28
Glarus,"40,100",2022-04-01,2022-04-17,2022-07-02,2022-08-14,2022-10-08,2022-10-23
Jura,"73,100",2022-04-01,2022-04-15,2022-07-04,2022-08-12,2022-10-10,2022-10-21
Luzern,"403,400",2022-04-01,2022-04-17,2022-07-09,2022-08-21,2022-10-01,2022-10-16
Neuenburg,"178,600",2022-04-01,2022-04-15,2022-07-04,2022-08-12,2022-10-03,2022-10-14
Nidwalden,"42,600",2022-04-01,2022-04-17,2022-07-09,2022-08-28,2022-10-01,2022-10-16
Obwalden,"37,400",2022-04-01,2022-04-17,2022-07-02,2022-08-14,2022-10-01,2022-10-23
Schaffhausen,"80,800",2022-04-16,2022-05-01,2022-07-09,2022-08-14,2022-10-01,2022-10-23
Schwyz,"155,900",2022-05-02,2022-05-13,2022-07-11,2022-08-19,2022-10-03,2022-10-14
Solothurn,"269,400",2022-04-11,2022-04-22,2022-07-11,2022-08-12,2022-10-03,2022-10-21
Tessin,"354,400",2022-04-01,2022-04-10,2022-06-18,2022-08-28,2022-10-29,2022-11-06
Thurgau,"270,700",2022-04-01,2022-04-17,2022-07-11,2022-08-14,2022-10-10,2022-10-23
Waadt,"784,800",2022-04-01,2023-04-17,2022-07-02,2022-08-21,2022-10-15,2022-10-30
Wallis,"339,200",2022-05-09,2022-05-13,2022-06-27,2022-08-12,2022-10-10,2022-10-21
Zug,"123,900",2022-04-16,2022-05-01,2022-07-02,2022-08-14,2022-10-01,2022-10-16
Z端rich,"1,488,000",2022-04-25,2022-05-07,2022-07-18,2022-08-20,2022-10-10,2022-10-22